split,clip_index,sequence_ids,sample_ids,query_times,query_count,selected_event_count
train,18999,"[""seq0070"", ""seq0070"", ""seq0070"", ""seq0070"", ""seq0070"", ""seq0070"", ""seq0070"", ""seq0070""]","[""seq0070_g000392"", ""seq0070_g000393"", ""seq0070_g000394"", ""seq0070_g000395"", ""seq0070_g000396"", ""seq0070_g000397"", ""seq0070_g000398"", ""seq0070_g000399""]","[1706258556.2585106, 1706258556.3400226, 1706258556.3772647, 1706258556.4213285, 1706258556.4824848, 1706258556.5230484, 1706258556.5592463, 1706258556.5978897]",8,160
train,19000,"[""seq0071""]","[""seq0071_g000000""]",[1706258556.650464],1,0
train,19399,"[""seq0071"", ""seq0071"", ""seq0071"", ""seq0071"", ""seq0071"", ""seq0071"", ""seq0071"", ""seq0071""]","[""seq0071_g000392"", ""seq0071_g000393"", ""seq0071_g000394"", ""seq0071_g000395"", ""seq0071_g000396"", ""seq0071_g000397"", ""seq0071_g000398"", ""seq0071_g000399""]","[1706258576.7960324, 1706258576.8441148, 1706258576.8960037, 1706258576.9519577, 1706258577.0004675, 1706258577.049601, 1706258577.0983589, 1706258577.1478703]",8,160
train,19400,"[""seq0072""]","[""seq0072_g000000""]",[1706258577.1985645],1,0
train,19799,"[""seq0072"", ""seq0072"", ""seq0072"", ""seq0072"", ""seq0072"", ""seq0072"", ""seq0072"", ""seq0072""]","[""seq0072_g000392"", ""seq0072_g000393"", ""seq0072_g000394"", ""seq0072_g000395"", ""seq0072_g000396"", ""seq0072_g000397"", ""seq0072_g000398"", ""seq0072_g000399""]","[1706258596.9956937, 1706258597.0432987, 1706258597.095646, 1706258597.1447704, 1706258597.1938436, 1706258597.2456326, 1706258597.2988448, 1706258597.3442357]",8,160
train,19800,"[""seq0073""]","[""seq0073_g000000""]",[1706258635.0481012],1,0
train,20199,"[""seq0073"", ""seq0073"", ""seq0073"", ""seq0073"", ""seq0073"", ""seq0073"", ""seq0073"", ""seq0073""]","[""seq0073_g000392"", ""seq0073_g000393"", ""seq0073_g000394"", ""seq0073_g000395"", ""seq0073_g000396"", ""seq0073_g000397"", ""seq0073_g000398"", ""seq0073_g000399""]","[1706258655.1537201, 1706258655.2037132, 1706258655.2553208, 1706258655.304613, 1706258655.3637514, 1706258655.405279, 1706258655.455668, 1706258655.5066085]",8,160
train,20200,"[""seq0074""]","[""seq0074_g000000""]",[1706258655.5546937],1,0
train,20599,"[""seq0074"", ""seq0074"", ""seq0074"", ""seq0074"", ""seq0074"", ""seq0074"", ""seq0074"", ""seq0074""]","[""seq0074_g000392"", ""seq0074_g000393"", ""seq0074_g000394"", ""seq0074_g000395"", ""seq0074_g000396"", ""seq0074_g000397"", ""seq0074_g000398"", ""seq0074_g000399""]","[1706258675.906971, 1706258675.9814599, 1706258676.0176253, 1706258676.072907, 1706258676.1194475, 1706258676.1777554, 1706258676.2812862, 1706258676.3333526]",8,160
train,20600,"[""seq0076""]","[""seq0076_g000000""]",[1706258696.7093346],1,0
train,20999,"[""seq0076"", ""seq0076"", ""seq0076"", ""seq0076"", ""seq0076"", ""seq0076"", ""seq0076"", ""seq0076""]","[""seq0076_g000392"", ""seq0076_g000393"", ""seq0076_g000394"", ""seq0076_g000395"", ""seq0076_g000396"", ""seq0076_g000397"", ""seq0076_g000398"", ""seq0076_g000399""]","[1706258716.580596, 1706258716.6247075, 1706258716.6721222, 1706258716.7185612, 1706258716.7640164, 1706258716.8416002, 1706258716.887221, 1706258716.9335558]",8,160
train,21000,"[""seq0077""]","[""seq0077_g000000""]",[1706258716.982671],1,0
train,21399,"[""seq0077"", ""seq0077"", ""seq0077"", ""seq0077"", ""seq0077"", ""seq0077"", ""seq0077"", ""seq0077""]","[""seq0077_g000392"", ""seq0077_g000393"", ""seq0077_g000394"", ""seq0077_g000395"", ""seq0077_g000396"", ""seq0077_g000397"", ""seq0077_g000398"", ""seq0077_g000399""]","[1706258737.1129687, 1706258737.164555, 1706258737.2102947, 1706258737.2572727, 1706258737.3092024, 1706258737.3698995, 1706258737.4077806, 1706258737.46558]",8,160
train,21400,"[""seq0079""]","[""seq0079_g000000""]",[1706256016.961951],1,0
train,21799,"[""seq0079"", ""seq0079"", ""seq0079"", ""seq0079"", ""seq0079"", ""seq0079"", ""seq0079"", ""seq0079""]","[""seq0079_g000392"", ""seq0079_g000393"", ""seq0079_g000394"", ""seq0079_g000395"", ""seq0079_g000396"", ""seq0079_g000397"", ""seq0079_g000398"", ""seq0079_g000399""]","[1706256037.163468, 1706256037.2088993, 1706256037.2604249, 1706256037.3400948, 1706256037.3849282, 1706256037.4300706, 1706256037.4764159, 1706256037.5235376]",8,160
train,21800,"[""seq0080""]","[""seq0080_g000000""]",[1706256037.566495],1,0
train,22199,"[""seq0080"", ""seq0080"", ""seq0080"", ""seq0080"", ""seq0080"", ""seq0080"", ""seq0080"", ""seq0080""]","[""seq0080_g000392"", ""seq0080_g000393"", ""seq0080_g000394"", ""seq0080_g000395"", ""seq0080_g000396"", ""seq0080_g000397"", ""seq0080_g000398"", ""seq0080_g000399""]","[1706256058.6566477, 1706256058.710927, 1706256058.7682126, 1706256058.8062038, 1706256058.85528, 1706256058.9060352, 1706256058.9676964, 1706256059.0045614]",8,160
train,22200,"[""seq0081""]","[""seq0081_g000000""]",[1706256093.705278],1,0
train,22599,"[""seq0081"", ""seq0081"", ""seq0081"", ""seq0081"", ""seq0081"", ""seq0081"", ""seq0081"", ""seq0081""]","[""seq0081_g000392"", ""seq0081_g000393"", ""seq0081_g000394"", ""seq0081_g000395"", ""seq0081_g000396"", ""seq0081_g000397"", ""seq0081_g000398"", ""seq0081_g000399""]","[1706256114.0577743, 1706256114.1082237, 1706256114.1545298, 1706256114.2066224, 1706256114.2577772, 1706256114.3082626, 1706256114.357681, 1706256114.4068203]",8,160
train,22600,"[""seq0082""]","[""seq0082_g000000""]",[1706256114.4558535],1,0
train,22999,"[""seq0082"", ""seq0082"", ""seq0082"", ""seq0082"", ""seq0082"", ""seq0082"", ""seq0082"", ""seq0082""]","[""seq0082_g000392"", ""seq0082_g000393"", ""seq0082_g000394"", ""seq0082_g000395"", ""seq0082_g000396"", ""seq0082_g000397"", ""seq0082_g000398"", ""seq0082_g000399""]","[1706256134.456115, 1706256134.5074303, 1706256134.5600789, 1706256134.6066678, 1706256134.6574802, 1706256134.7077284, 1706256134.757381, 1706256134.8073936]",8,160
train,23000,"[""seq0083""]","[""seq0083_g000000""]",[1706256134.8566055],1,0
train,23399,"[""seq0083"", ""seq0083"", ""seq0083"", ""seq0083"", ""seq0083"", ""seq0083"", ""seq0083"", ""seq0083""]","[""seq0083_g000392"", ""seq0083_g000393"", ""seq0083_g000394"", ""seq0083_g000395"", ""seq0083_g000396"", ""seq0083_g000397"", ""seq0083_g000398"", ""seq0083_g000399""]","[1706256155.0093057, 1706256155.0581558, 1706256155.1075933, 1706256155.164254, 1706256155.2064252, 1706256155.2617807, 1706256155.3099046, 1706256155.3715692]",8,160
train,23400,"[""seq0085""]","[""seq0085_g000000""]",[1706256176.1608355],1,0
train,23799,"[""seq0085"", ""seq0085"", ""seq0085"", ""seq0085"", ""seq0085"", ""seq0085"", ""seq0085"", ""seq0085""]","[""seq0085_g000392"", ""seq0085_g000393"", ""seq0085_g000394"", ""seq0085_g000395"", ""seq0085_g000396"", ""seq0085_g000397"", ""seq0085_g000398"", ""seq0085_g000399""]","[1706256196.616636, 1706256196.661779, 1706256196.7101078, 1706256196.7634845, 1706256196.8095312, 1706256196.8730764, 1706256196.9119735, 1706256196.9590292]",8,160
train,23800,"[""seq0086""]","[""seq0086_g000000""]",[1706256197.0117426],1,0
train,24199,"[""seq0086"", ""seq0086"", ""seq0086"", ""seq0086"", ""seq0086"", ""seq0086"", ""seq0086"", ""seq0086""]","[""seq0086_g000392"", ""seq0086_g000393"", ""seq0086_g000394"", ""seq0086_g000395"", ""seq0086_g000396"", ""seq0086_g000397"", ""seq0086_g000398"", ""seq0086_g000399""]","[1706256217.016552, 1706256217.0610282, 1706256217.110864, 1706256217.174439, 1706256217.2116873, 1706256217.2697616, 1706256217.3114882, 1706256217.3667564]",8,160
train,24200,"[""seq0088""]","[""seq0088_g000000""]",[1706256237.6123462],1,0
train,24599,"[""seq0088"", ""seq0088"", ""seq0088"", ""seq0088"", ""seq0088"", ""seq0088"", ""seq0088"", ""seq0088""]","[""seq0088_g000392"", ""seq0088_g000393"", ""seq0088_g000394"", ""seq0088_g000395"", ""seq0088_g000396"", ""seq0088_g000397"", ""seq0088_g000398"", ""seq0088_g000399""]","[1706256259.162642, 1706256259.2204735, 1706256259.2803767, 1706256259.3626688, 1706256259.410947, 1706256259.46135, 1706256259.5135071, 1706256259.5719454]",8,160
train,24600,"[""seq0089""]","[""seq0089_g000000""]",[1706256508.0506258],1,0
train,24999,"[""seq0089"", ""seq0089"", ""seq0089"", ""seq0089"", ""seq0089"", ""seq0089"", ""seq0089"", ""seq0089""]","[""seq0089_g000392"", ""seq0089_g000393"", ""seq0089_g000394"", ""seq0089_g000395"", ""seq0089_g000396"", ""seq0089_g000397"", ""seq0089_g000398"", ""seq0089_g000399""]","[1706256528.7991233, 1706256528.8538158, 1706256528.9003325, 1706256528.960769, 1706256529.0135996, 1706256529.0465536, 1706256529.0990984, 1706256529.1481857]",8,160
train,25000,"[""seq0091""]","[""seq0091_g000000""]",[1706256549.748733],1,0
train,25399,"[""seq0091"", ""seq0091"", ""seq0091"", ""seq0091"", ""seq0091"", ""seq0091"", ""seq0091"", ""seq0091""]","[""seq0091_g000392"", ""seq0091_g000393"", ""seq0091_g000394"", ""seq0091_g000395"", ""seq0091_g000396"", ""seq0091_g000397"", ""seq0091_g000398"", ""seq0091_g000399""]","[1706256570.049181, 1706256570.1016965, 1706256570.150863, 1706256570.1984816, 1706256570.250569, 1706256570.3015933, 1706256570.3526576, 1706256570.401166]",8,160
train,25400,"[""seq0093""]","[""seq0093_g000000""]",[1706256614.827081],1,0
train,25799,"[""seq0093"", ""seq0093"", ""seq0093"", ""seq0093"", ""seq0093"", ""seq0093"", ""seq0093"", ""seq0093""]","[""seq0093_g000392"", ""seq0093_g000393"", ""seq0093_g000394"", ""seq0093_g000395"", ""seq0093_g000396"", ""seq0093_g000397"", ""seq0093_g000398"", ""seq0093_g000399""]","[1706256635.918338, 1706256635.961776, 1706256636.0144632, 1706256636.0635772, 1706256636.1144452, 1706256636.1610496, 1706256636.2170303, 1706256636.2619572]",8,160
train,25800,"[""seq0094""]","[""seq0094_g000000""]",[1706256636.3141546],1,0
train,26199,"[""seq0094"", ""seq0094"", ""seq0094"", ""seq0094"", ""seq0094"", ""seq0094"", ""seq0094"", ""seq0094""]","[""seq0094_g000392"", ""seq0094_g000393"", ""seq0094_g000394"", ""seq0094_g000395"", ""seq0094_g000396"", ""seq0094_g000397"", ""seq0094_g000398"", ""seq0094_g000399""]","[1706256656.988567, 1706256657.0512216, 1706256657.1359112, 1706256657.2207627, 1706256657.265121, 1706256657.31515, 1706256657.36474, 1706256657.4174056]",8,160
train,26200,"[""seq0095""]","[""seq0095_g000000""]",[1706256657.4661107],1,0
train,26599,"[""seq0095"", ""seq0095"", ""seq0095"", ""seq0095"", ""seq0095"", ""seq0095"", ""seq0095"", ""seq0095""]","[""seq0095_g000392"", ""seq0095_g000393"", ""seq0095_g000394"", ""seq0095_g000395"", ""seq0095_g000396"", ""seq0095_g000397"", ""seq0095_g000398"", ""seq0095_g000399""]","[1706256677.9207551, 1706256677.9641852, 1706256678.0166054, 1706256678.063155, 1706256678.110587, 1706256678.164725, 1706256678.2222133, 1706256678.2657962]",8,160
train,26600,"[""seq0096""]","[""seq0096_g000000""]",[1706256678.315591],1,0
train,26999,"[""seq0096"", ""seq0096"", ""seq0096"", ""seq0096"", ""seq0096"", ""seq0096"", ""seq0096"", ""seq0096""]","[""seq0096_g000392"", ""seq0096_g000393"", ""seq0096_g000394"", ""seq0096_g000395"", ""seq0096_g000396"", ""seq0096_g000397"", ""seq0096_g000398"", ""seq0096_g000399""]","[1706256698.8408892, 1706256698.885278, 1706256698.936401, 1706256698.981215, 1706256699.028892, 1706256699.0767322, 1706256699.1243703, 1706256699.1713996]",8,160
train,27000,"[""seq0097""]","[""seq0097_g000000""]",[1706256699.2203135],1,0
train,27399,"[""seq0097"", ""seq0097"", ""seq0097"", ""seq0097"", ""seq0097"", ""seq0097"", ""seq0097"", ""seq0097""]","[""seq0097_g000392"", ""seq0097_g000393"", ""seq0097_g000394"", ""seq0097_g000395"", ""seq0097_g000396"", ""seq0097_g000397"", ""seq0097_g000398"", ""seq0097_g000399""]","[1706256719.6152792, 1706256719.6678083, 1706256719.7180617, 1706256719.7637227, 1706256719.8161807, 1706256719.8665628, 1706256719.919801, 1706256719.9640887]",8,160
train,27400,"[""seq0099""]","[""seq0099_g000000""]",[1706256740.7450378],1,0
train,27799,"[""seq0099"", ""seq0099"", ""seq0099"", ""seq0099"", ""seq0099"", ""seq0099"", ""seq0099"", ""seq0099""]","[""seq0099_g000392"", ""seq0099_g000393"", ""seq0099_g000394"", ""seq0099_g000395"", ""seq0099_g000396"", ""seq0099_g000397"", ""seq0099_g000398"", ""seq0099_g000399""]","[1706256761.7380195, 1706256761.7758129, 1706256761.8244913, 1706256761.8739552, 1706256761.9243217, 1706256761.9897923, 1706256762.0382414, 1706256762.1247792]",8,160
train,27800,"[""seq0100""]","[""seq0100_g000000""]",[1706256762.1628187],1,0
train,28199,"[""seq0100"", ""seq0100"", ""seq0100"", ""seq0100"", ""seq0100"", ""seq0100"", ""seq0100"", ""seq0100""]","[""seq0100_g000392"", ""seq0100_g000393"", ""seq0100_g000394"", ""seq0100_g000395"", ""seq0100_g000396"", ""seq0100_g000397"", ""seq0100_g000398"", ""seq0100_g000399""]","[1706256782.526899, 1706256782.5694792, 1706256782.6225932, 1706256782.6679394, 1706256782.7187443, 1706256782.766602, 1706256782.8217845, 1706256782.8679807]",8,160
train,28200,"[""seq0102""]","[""seq0102_g000000""]",[1706256803.168583],1,0
train,28599,"[""seq0102"", ""seq0102"", ""seq0102"", ""seq0102"", ""seq0102"", ""seq0102"", ""seq0102"", ""seq0102""]","[""seq0102_g000392"", ""seq0102_g000393"", ""seq0102_g000394"", ""seq0102_g000395"", ""seq0102_g000396"", ""seq0102_g000397"", ""seq0102_g000398"", ""seq0102_g000399""]","[1706256823.2707496, 1706256823.3213425, 1706256823.367452, 1706256823.4402857, 1706256823.4768958, 1706256823.5242882, 1706256823.5663931, 1706256823.628956]",8,160
validation,0,"[""seq0001""]","[""seq0001_valref_000000""]",[1706255621.564602],1,0
validation,99,"[""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001"", ""seq0001""]","[""seq0001_valref_000092"", ""seq0001_valref_000093"", ""seq0001_valref_000094"", ""seq0001_valref_000095"", ""seq0001_valref_000096"", ""seq0001_valref_000097"", ""seq0001_valref_000098"", ""seq0001_valref_000099""]","[1706255626.2126122, 1706255626.3117075, 1706255626.377821, 1706255626.4199407, 1706255626.465864, 1706255626.612978, 1706255626.812695, 1706255626.858342]",8,160
validation,100,"[""seq0002""]","[""seq0002_valref_000100""]",[1706255054.386069],1,0
validation,199,"[""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002"", ""seq0002""]","[""seq0002_valref_000192"", ""seq0002_valref_000193"", ""seq0002_valref_000194"", ""seq0002_valref_000195"", ""seq0002_valref_000196"", ""seq0002_valref_000197"", ""seq0002_valref_000198"", ""seq0002_valref_000199""]","[1706255059.09643, 1706255059.1374047, 1706255059.1918228, 1706255059.2335577, 1706255059.2879677, 1706255059.3348417, 1706255059.387743, 1706255059.4371493]",8,160
validation,200,"[""seq0003""]","[""seq0003_valref_000200""]",[1706257431.6998613],1,0
validation,299,"[""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003"", ""seq0003""]","[""seq0003_valref_000292"", ""seq0003_valref_000293"", ""seq0003_valref_000294"", ""seq0003_valref_000295"", ""seq0003_valref_000296"", ""seq0003_valref_000297"", ""seq0003_valref_000298"", ""seq0003_valref_000299""]","[1706257436.4700322, 1706257436.513038, 1706257436.560351, 1706257436.604528, 1706257436.6513965, 1706257436.6978376, 1706257436.748197, 1706257436.800148]",8,160
validation,300,"[""seq0004""]","[""seq0004_valref_000300""]",[1706257436.8516316],1,0
validation,399,"[""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004"", ""seq0004""]","[""seq0004_valref_000392"", ""seq0004_valref_000393"", ""seq0004_valref_000394"", ""seq0004_valref_000395"", ""seq0004_valref_000396"", ""seq0004_valref_000397"", ""seq0004_valref_000398"", ""seq0004_valref_000399""]","[1706257441.6693366, 1706257441.747851, 1706257441.798404, 1706257441.8489096, 1706257441.897671, 1706257441.9529622, 1706257441.9995186, 1706257442.055707]",8,160
validation,400,"[""seq0005""]","[""seq0005_valref_000400""]",[1706257442.0962431],1,0
validation,499,"[""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005"", ""seq0005""]","[""seq0005_valref_000492"", ""seq0005_valref_000493"", ""seq0005_valref_000494"", ""seq0005_valref_000495"", ""seq0005_valref_000496"", ""seq0005_valref_000497"", ""seq0005_valref_000498"", ""seq0005_valref_000499""]","[1706257446.7476096, 1706257446.7981389, 1706257446.849616, 1706257446.8950312, 1706257446.9463532, 1706257446.9980187, 1706257447.0538683, 1706257447.1005425]",8,160
validation,500,"[""seq0006""]","[""seq0006_valref_000500""]",[1706257647.6562097],1,0
validation,599,"[""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006"", ""seq0006""]","[""seq0006_valref_000592"", ""seq0006_valref_000593"", ""seq0006_valref_000594"", ""seq0006_valref_000595"", ""seq0006_valref_000596"", ""seq0006_valref_000597"", ""seq0006_valref_000598"", ""seq0006_valref_000599""]","[1706257652.3158722, 1706257652.3557267, 1706257652.4040291, 1706257652.458642, 1706257652.505958, 1706257652.5574853, 1706257652.6031258, 1706257652.6589494]",8,160
validation,600,"[""seq0007""]","[""seq0007_valref_000600""]",[1706257652.7064168],1,0
validation,699,"[""seq0007"", ""seq0007"", ""seq0007"", ""seq0007"", ""seq0007"", ""seq0007"", ""seq0007"", ""seq0007""]","[""seq0007_valref_000692"", ""seq0007_valref_000693"", ""seq0007_valref_000694"", ""seq0007_valref_000695"", ""seq0007_valref_000696"", ""seq0007_valref_000697"", ""seq0007_valref_000698"", ""seq0007_valref_000699""]","[1706257657.357871, 1706257657.4075203, 1706257657.4572577, 1706257657.517596, 1706257657.5575986, 1706257657.6126692, 1706257657.6580799, 1706257657.7054403]",8,160
validation,700,"[""seq0008""]","[""seq0008_valref_000700""]",[1706257657.756131],1,0
validation,799,"[""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008""]","[""seq0008_valref_000792"", ""seq0008_valref_000793"", ""seq0008_valref_000794"", ""seq0008_valref_000795"", ""seq0008_valref_000796"", ""seq0008_valref_000797"", ""seq0008_valref_000798"", ""seq0008_valref_000799""]","[1706257662.35338, 1706257662.4029658, 1706257662.457086, 1706257662.5126553, 1706257662.5558949, 1706257662.6031797, 1706257662.6575809, 1706257662.710591]",8,160
validation,800,"[""seq0009""]","[""seq0009_valref_000800""]",[1706258170.5197031],1,0
validation,899,"[""seq0009"", ""seq0009"", ""seq0009"", ""seq0009"", ""seq0009"", ""seq0009"", ""seq0009"", ""seq0009""]","[""seq0009_valref_000892"", ""seq0009_valref_000893"", ""seq0009_valref_000894"", ""seq0009_valref_000895"", ""seq0009_valref_000896"", ""seq0009_valref_000897"", ""seq0009_valref_000898"", ""seq0009_valref_000899""]","[1706258175.1929893, 1706258175.2380795, 1706258175.294081, 1706258175.3807683, 1706258175.4275043, 1706258175.474908, 1706258175.522403, 1706258175.5709105]",8,160
validation,900,"[""seq0010""]","[""seq0010_valref_000900""]",[1706258272.3738594],1,0
validation,999,"[""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010""]","[""seq0010_valref_000992"", ""seq0010_valref_000993"", ""seq0010_valref_000994"", ""seq0010_valref_000995"", ""seq0010_valref_000996"", ""seq0010_valref_000997"", ""seq0010_valref_000998"", ""seq0010_valref_000999""]","[1706258276.9762125, 1706258277.0239756, 1706258277.0748444, 1706258277.1372025, 1706258277.1769884, 1706258277.2229054, 1706258277.273916, 1706258277.3230615]",8,160
validation,1000,"[""seq0011""]","[""seq0011_valref_001000""]",[1706258277.3751385],1,0
validation,1099,"[""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011""]","[""seq0011_valref_001092"", ""seq0011_valref_001093"", ""seq0011_valref_001094"", ""seq0011_valref_001095"", ""seq0011_valref_001096"", ""seq0011_valref_001097"", ""seq0011_valref_001098"", ""seq0011_valref_001099""]","[1706258282.07496, 1706258282.1221051, 1706258282.181332, 1706258282.2262769, 1706258282.2779045, 1706258282.3249116, 1706258282.3749592, 1706258282.439182]",8,160
validation,1100,"[""seq0012""]","[""seq0012_valref_001100""]",[1706258282.4761147],1,0
validation,1199,"[""seq0012"", ""seq0012"", ""seq0012"", ""seq0012"", ""seq0012"", ""seq0012"", ""seq0012"", ""seq0012""]","[""seq0012_valref_001192"", ""seq0012_valref_001193"", ""seq0012_valref_001194"", ""seq0012_valref_001195"", ""seq0012_valref_001196"", ""seq0012_valref_001197"", ""seq0012_valref_001198"", ""seq0012_valref_001199""]","[1706258287.2213612, 1706258287.273093, 1706258287.3237162, 1706258287.3780277, 1706258287.4369893, 1706258287.474489, 1706258287.5225952, 1706258287.5749505]",8,160
validation,1200,"[""seq0013""]","[""seq0013_valref_001200""]",[1706258737.5108986],1,0
validation,1299,"[""seq0013"", ""seq0013"", ""seq0013"", ""seq0013"", ""seq0013"", ""seq0013"", ""seq0013"", ""seq0013""]","[""seq0013_valref_001292"", ""seq0013_valref_001293"", ""seq0013_valref_001294"", ""seq0013_valref_001295"", ""seq0013_valref_001296"", ""seq0013_valref_001297"", ""seq0013_valref_001298"", ""seq0013_valref_001299""]","[1706258742.1620636, 1706258742.208916, 1706258742.2594965, 1706258742.3098876, 1706258742.365161, 1706258742.4032776, 1706258742.4649704, 1706258742.5082903]",8,160
validation,1300,"[""seq0014""]","[""seq0014_valref_001300""]",[1706258742.5500314],1,0
validation,1399,"[""seq0014"", ""seq0014"", ""seq0014"", ""seq0014"", ""seq0014"", ""seq0014"", ""seq0014"", ""seq0014""]","[""seq0014_valref_001392"", ""seq0014_valref_001393"", ""seq0014_valref_001394"", ""seq0014_valref_001395"", ""seq0014_valref_001396"", ""seq0014_valref_001397"", ""seq0014_valref_001398"", ""seq0014_valref_001399""]","[1706258747.3125749, 1706258747.3715873, 1706258747.408953, 1706258747.4570725, 1706258747.5094752, 1706258747.5715847, 1706258747.610372, 1706258747.6577075]",8,160
validation,1400,"[""seq0015""]","[""seq0015_valref_001400""]",[1706258747.70766],1,0
validation,1499,"[""seq0015"", ""seq0015"", ""seq0015"", ""seq0015"", ""seq0015"", ""seq0015"", ""seq0015"", ""seq0015""]","[""seq0015_valref_001492"", ""seq0015_valref_001493"", ""seq0015_valref_001494"", ""seq0015_valref_001495"", ""seq0015_valref_001496"", ""seq0015_valref_001497"", ""seq0015_valref_001498"", ""seq0015_valref_001499""]","[1706258752.5606883, 1706258752.611692, 1706258752.6668594, 1706258752.7103822, 1706258752.7744343, 1706258752.8168826, 1706258752.8704026, 1706258752.9125516]",8,160
validation,1500,"[""seq0016""]","[""seq0016_valref_001500""]",[1706256059.0537317],1,0
validation,1599,"[""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016""]","[""seq0016_valref_001592"", ""seq0016_valref_001593"", ""seq0016_valref_001594"", ""seq0016_valref_001595"", ""seq0016_valref_001596"", ""seq0016_valref_001597"", ""seq0016_valref_001598"", ""seq0016_valref_001599""]","[1706256063.8076646, 1706256063.8863106, 1706256063.9574742, 1706256064.007753, 1706256064.0560956, 1706256064.1069384, 1706256064.1599429, 1706256064.2087624]",8,160
